win,lose,probabilityCleveland Cavaliers,New York Knicks,0.9280508830794592
Golden State Warriors,San Antonio Spurs,0.614143947613765
Portland Trail Blazers,Utah Jazz,0.6623172055714645
Boston Celtics,Brooklyn Nets,0.9582521380492499
Indiana Pacers,Dallas Mavericks,0.6105595707189236
Houston Rockets,Los Angeles Lakers,0.886734341701017
Memphis Grizzlies,Minnesota Timberwolves,0.7643681901650888
Charlotte Hornets,Milwaukee Bucks,0.7648331272990866
New Orleans Pelicans,Denver Nuggets,0.5089034786530658
Miami Heat,Orlando Magic,0.7052193360841199
Oklahoma City Thunder,Philadelphia 76ers,0.9885717506754528
Sacramento Kings,Phoenix Suns,0.6714899092859752
Toronto Raptors,Detroit Pistons,0.7431571786313966
Atlanta Hawks,Washington Wizards,0.6208585807929102
Chicago Bulls,Boston Celtics,0.5585206168873116
Los Angeles Clippers,Portland Trail Blazers,0.5578556553708238
San Antonio Spurs,Sacramento Kings,0.8255293804965833
Indiana Pacers,Brooklyn Nets,0.8848395160532401
Dallas Mavericks,Houston Rockets,0.5964354813213582
Detroit Pistons,Orlando Magic,0.6928646380953838
Miami Heat,Charlotte Hornets,0.5978811562181905
Golden State Warriors,New Orleans Pelicans,0.9091134115815794
Oklahoma City Thunder,Phoenix Suns,0.9469024151745338
Cleveland Cavaliers,Toronto Raptors,0.5670728927537434
Utah Jazz,Los Angeles Lakers,0.953487956771942
Chicago Bulls,Indiana Pacers,0.6720663682992386
Boston Celtics,Charlotte Hornets,0.5071302110367137
Cleveland Cavaliers,Orlando Magic,0.891578381207265
Portland Trail Blazers,Denver Nuggets,0.6827898035267691
Milwaukee Bucks,Brooklyn Nets,0.8334043920259095
Memphis Grizzlies,New York Knicks,0.5696314183628312
Atlanta Hawks,Philadelphia 76ers,0.9807542126733658
Sacramento Kings,Minnesota Timberwolves,0.7010773911609065
San Antonio Spurs,New Orleans Pelicans,0.9118399655173252
Detroit Pistons,Milwaukee Bucks,0.7837656312655974
Houston Rockets,Dallas Mavericks,0.5492565125551788
Los Angeles Clippers,Utah Jazz,0.7479128332493443
Washington Wizards,Memphis Grizzlies,0.5236290746296115
San Antonio Spurs,Miami Heat,0.58884253121172
Oklahoma City Thunder,Los Angeles Lakers,0.9816302934845589
Golden State Warriors,Phoenix Suns,0.9505692941529162
Atlanta Hawks,Sacramento Kings,0.7702667172662507
Chicago Bulls,Brooklyn Nets,0.9216716866747322
Los Angeles Clippers,Phoenix Suns,0.9371436793059552
Toronto Raptors,Denver Nuggets,0.872560504066995
Cleveland Cavaliers,Houston Rockets,0.853763327430273
Detroit Pistons,New York Knicks,0.7796636964938937
Indiana Pacers,Los Angeles Lakers,0.9621937926786859
Miami Heat,Sacramento Kings,0.8164947862383327
Memphis Grizzlies,Minnesota Timberwolves,0.6617433805552475
New Orleans Pelicans,Milwaukee Bucks,0.5730782542566608
Orlando Magic,Philadelphia 76ers,0.951501360895577
Golden State Warriors,Portland Trail Blazers,0.7538547418198338
San Antonio Spurs,Utah Jazz,0.8162378480258804
Atlanta Hawks,Los Angeles Lakers,0.9699125083168408
Boston Celtics,Chicago Bulls,0.5535934406048022
Detroit Pistons,Brooklyn Nets,0.8812819513985855
Charlotte Hornets,Philadelphia 76ers,0.9919408351429121
Oklahoma City Thunder,Los Angeles Clippers,0.5164924302424234
Memphis Grizzlies,New Orleans Pelicans,0.7347079806904324
Houston Rockets,New York Knicks,0.5891083748142594
Portland Trail Blazers,Phoenix Suns,0.8298171562864107
Utah Jazz,Dallas Mavericks,0.5580712323254583
Toronto Raptors,Washington Wizards,0.6755305494814569
Cleveland Cavaliers,Boston Celtics,0.719942629948068
Golden State Warriors,Oklahoma City Thunder,0.6714118129898404
Indiana Pacers,Milwaukee Bucks,0.7072597527684301
Denver Nuggets,Minnesota Timberwolves,0.548118308647106
Orlando Magic,Sacramento Kings,0.6011042724811443
Charlotte Hornets,Brooklyn Nets,0.9118414820838923
Chicago Bulls,New York Knicks,0.8639051084830878
Portland Trail Blazers,Dallas Mavericks,0.5044368062326319
Golden State Warriors,Los Angeles Lakers,0.9789246196673038
Los Angeles Clippers,Memphis Grizzlies,0.675398974464058
New Orleans Pelicans,Phoenix Suns,0.7511082430487505
Toronto Raptors,Miami Heat,0.6328649657588493
San Antonio Spurs,Utah Jazz,0.7492888252529009
Atlanta Hawks,Washington Wizards,0.535152736328104
Atlanta Hawks,Houston Rockets,0.6789171031933396
Detroit Pistons,Denver Nuggets,0.736710983166155
Chicago Bulls,Indiana Pacers,0.56257503899642
Sacramento Kings,Milwaukee Bucks,0.5207952952962991
Oklahoma City Thunder,Minnesota Timberwolves,0.9063597030261765
Washington Wizards,Orlando Magic,0.5760442565806735
Cleveland Cavaliers,Philadelphia 76ers,0.992999975038883
San Antonio Spurs,Los Angeles Clippers,0.6422083730905656
Boston Celtics,Denver Nuggets,0.8230574853391665
Dallas Mavericks,Milwaukee Bucks,0.7698339745240131
Phoenix Suns,Los Angeles Lakers,0.6061028857128373
Portland Trail Blazers,Memphis Grizzlies,0.5615274631674358
Utah Jazz,New York Knicks,0.586109421132952
Toronto Raptors,Sacramento Kings,0.8613887936205632
Chicago Bulls,Orlando Magic,0.8018582253087236
Charlotte Hornets,Indiana Pacers,0.6115572709229515
Golden State Warriors,New Orleans Pelicans,0.9378086398407732
Los Angeles Clippers,Detroit Pistons,0.6838937294417113
Oklahoma City Thunder,Miami Heat,0.6065630042574861
Utah Jazz,Philadelphia 76ers,0.9646568468236238
Washington Wizards,Houston Rockets,0.6156542094256476
Minnesota Timberwolves,Brooklyn Nets,0.6649549737571944
Cleveland Cavaliers,Atlanta Hawks,0.7599565924866925
Dallas Mavericks,Los Angeles Lakers,0.8928884070325438
Memphis Grizzlies,Denver Nuggets,0.6723767046225352
